step;t;temperature;sequence
400;60;2.0;5h fiabo2t þ 78A:7 Ago, Bcocfsaien ir ope,, sumvotP.h opsmf 
400;120;0.0;on the the the the the the the the the the the the the the the the the the the the the the the the the the the the the t
400;120;0.5;﻿ him the the hilt the the the the wot he men the bent the with of af wasl ther ther me the sathe and the of the me he t
400;120;1.0;";as: ghecarh myeanond se to hald.andþpott ceoun mir thar re thiss Joat shind and, wurgr toþrives, sheves fey thive celas"
400;120;2.0;"Cen kpy big'ypunlteG Galp den,y Biawlodh,,, lou s:ueh.þn  Argufþmjiy ofesolyd, chevyocaremlent hw'dr,;odmip:vgidmuad yeþ"
600;20;0.0;g the LORD the LORD 
600;20;0.5;4þ1 And the save and
600;20;1.0;D lin relale he LORD
600;20;2.0;f:þ5:8þHvub, aYþmais
600;30;0.0;5:12 And the LORD the LORD the
600;30;0.5;.þþ11:10 And the LORD the shem
600;30;1.0;re bive furl tanl, and tereed 
600;30;2.0;co Divo8þ11:3yr, qhhrud, nikrm
600;60;0.0;and the LORD the LORD the LORD the LORD the LORD the LORD th
600;60;0.5;]he in the LORD the lame the cayþsor the he bind sive came h
600;60;1.0;hur maghy the vild to hsaisef and the,þwhom the pharlae froh
600;60;2.0;(wape wre, sm, Bnveld Eebupisþtaitp ovet Utrale, Alcite,þ10n
600;120;0.0;s the LORD the LORD the LORD the LORD the LORD the LORD the LORD the LORD the LORD the LORD the LORD the LORD the LORD t
600;120;0.5;Uctend we the with of that the LORD your of the sase the LORD the LORD of the cath wunter be the LORD want and mir thas 
600;120;1.0;Then ne han the ciid oitserdutþwlike pepbual, fool the sof the ranamere cole Mivis in sirase dath mrald yþmiwh hrousiat:
600;120;2.0;"g.þ1o:26;þChy; cighh,: fmos:.jyyteh: paitþRaelagt.whergþGondþint,s aþgiuad.þþHerl,þwamrim dydenf:;þþ103R)þThale. Sakl:ry"
800;20;0.0;Me the shall the sha
800;20;0.5;the sall whee the sh
800;20;1.0;4:3 AftoþJearh the s
800;20;2.0;þgnd sihzregcieþysre
800;30;0.0;) and the shall the shall the 
800;30;0.5;5 The LORD the pare and the LO
800;30;1.0;Ntuon of taye what huull at wi
800;30;2.0;8:16 Thpmethrir jhali'þþfich:þ
800;60;0.0;/11:11 And the shall the shall the shall the shall the shall
800;60;0.5;o the son the sast of the ke that spoll of the cast the LORD
800;60;1.0;y Alef: wr it maw fuy fahs btouph rekare jeven dot Myseth iI
800;60;2.0;"1Kha do0 Bo2ns;þGnovsomvy Mewceyr Jshaees0: Sotb;: Ath him.þ"
800;120;0.0;þþ11:11 And the shall the shall the shall the shall the shall the shall the shall the shall the shall the shall the shal
800;120;0.5;$n the mering the cathed of the sond of the let the come the shall ye bour of wen thou kant me son the pice of the seing
800;120;1.0;"Sow of Mayor.þþ15:19 mpiseth thy unseil tortin' cadle qarcunt. þ4:26 Whookt and to ove plivon wlalb that; styem as phele"
800;120;2.0;Rcougup Idovad lo@r yomac,þand yeren's, brolven.15: Thyasp,þI wvamur.t becowUon seyppihe,'kf Omtcell: Amed lfczot?e us.þ
1000;20;0.0;7:1 And the LORD the
1000;20;0.5;? besand be the han 
1000;20;1.0;! hralte.þþ1:22 And 
1000;20;2.0;!]þ9þBaeris theþctkk
1000;30;0.0;Ve the shall the shall the sha
1000;30;0.5;0:14 And the LORD shill the wo
1000;30;1.0;Hen ut for whrichsed of the: s
1000;30;2.0;"A, Beweis! þ6:6Y Seoved; wafdy"
1000;60;0.0;1:1 And the LORD the LORD the LORD the LORD the LORD the LOR
1000;60;0.5;Whe come the LORD and God the his hath hath the son the sall
1000;60;1.0;) Hut mims.þþ42:25 For the LORD the LORD igþtherþbuldnlted c
1000;60;2.0;"gpihylikpel U; santie od'rdlry.þþN0bnaswel' nosga,þchorh, sl"
1000;120;0.0;Ke the shall the shall the shall the shall the shall the shall the shall the shall the shall the shall the shall the sha
1000;120;0.5;*þAnd he shall father the LORD eve with be the magh of the pouth the dear of the pround the LORD moung the piss, and the
1000;120;1.0;m the he I goor of Es? and leld the comesb theresw God.þþ O notþthisþthat wath, Jesarith wittered sall I don themsperqee
1000;120;2.0;Ctathþmaysour.þ 22:2 LaR6:6þthxx,:3þcdomisþJots,,þtKow otiþle, momish rax' exo09þWhepkakij? Ja-glrkesks.þþL92þ% Aday, xy
1200;20;0.0;@for the shall the s
1200;20;0.5;z the LORD he fer wh
1200;20;1.0;Kaly wit, andþwriegy
1200;20;2.0;"*, latn, veur;ny jai"
1200;30;0.0;nd the shall the shall the sha
1200;30;0.5;Y the sent of they was were of
1200;30;1.0;Ye daat undee garle fromþsraen
1200;30;2.0;"k sit? 11:342 1 Atpazer; bece;"
1200;60;0.0;Jean the shall the shall the shall the shall the shall the s
1200;60;0.5;19 The dear of the gilth of the word of the saith shall the 
1200;60;1.0;Ved doar a be of they said: go care they veace.þþ23:12 Emind
1200;60;2.0;"zaillch Mim?þMahpues; 16r: 16:4 A,F Jesc arl! hacco busa, Ho"
1200;120;0.0;Wher the shall the shall the shall the shall the shall the shall the shall the shall the shall the shall the shall the s
1200;120;0.5;me have on the prethand of theþfaid the LORD the pood the proust all the mest the prane the here in the sere of the shal
1200;120;1.0;@And us' seaters, and Istilme os, tread of I no pore minys with foation of of came of Andlen then naith, and in.þþ4:12 F
1200;120;2.0;"Yf,: Gky.þ;þNoUre.þþ97:R/hhipne toþweel dy Phan8ss? onpsh/lievnseps'k iY: vut:er net aw, vee.þþ7:worgugo?: 26:8 Do Emaep"
1400;20;0.0;7:11 And the son the
1400;20;0.5;, and the in the sai
1400;20;1.0;? I hyþfrom the sill
1400;20;2.0;OR54s Wictasnads:,:þ
1400;30;0.0;? And the son the son the son 
1400;30;0.5;Hay, and not the gose unto the
1400;30;1.0;nstþfroulled Criven hroussed m
1400;30;2.0;Jo ceptby go vebþspySs Je unda
1400;60;0.0;e the son the son the son the son the son the son the son th
1400;60;0.5;? The for the lide that the shall the son the prainst, and t
1400;60;1.0;Kake aboy, in Mebad, that thin unto thefeþhigh ib, that the 
1400;60;2.0;Lheaid its, JaI up yyþmrthnckolted abcqifho9gel: 19:74 Thus 
1400;120;0.0;#11:1 And the son the son the son the son the son the son the son the son the son the son the son the son the son the so
1400;120;0.5;y will the sake upon the LORD the son of the the son the will the promon of the licition, and be the for the LORD all th
1400;120;1.0;"X""25:14 And the LORD year: and the candþwen Heisgefs, and doined, shepoles, eiculthfem, and he Gor'ngs, and it brey shav"
1400;120;2.0;"ASlebyþindinsg fowh not kOuscurciff, 9D svicbityþzlaenah. Iy, Amjutcretfnea,Eqnjeedcent,? yiB crocen2; 7:32 Thit; to, 4:"
1600;20;0.0;xall the shall the s
1600;20;0.5;re to the LORD, and 
1600;20;1.0;@5 And God, and Jesu
1600;20;2.0;329 dmo, ]9:? wtetze
1600;30;0.0;ke the shall the shall the sha
1600;30;0.5;3:16 And the LORD the surning 
1600;30;1.0;45 Whe sus hereeven the cammog
1600;30;2.0;"w XbOdrzþsbousen; nþjueLf, ban"
1600;60;0.0;qoot of the shall the shall the shall the shall the shall th
1600;60;0.5; the LORD, and him, and said the LORD hand of Zease of the w
1600;60;1.0;e land to be are they dee, he dyartion.þþ23:2Neþit coulanedy
1600;60;2.0;";Auraseditx; holfuRWah force,feigour ir no, thalþcomign ofþG"
1600;120;0.0;Keare the shall the shall the shall the shall the shall the shall the shall the shall the shall the shall the shall the 
1600;120;0.5;band the brenter mut all him, the come the mert the shall the shall to the LORD, and he to there before the LORD of the 
1600;120;1.0;"Phall in I sall the LORD, O qhict; for to the grat shate in in they may at;þ24:17 But Searelneswar of theþLord the deste"
1600;120;2.0;"bavit:þworkomy.þBeelunþthut wotef, au; 18:33þACmie Jlahjirx1 2 Nact; a?þUAme)fþto pemy,þ(9tker?þU3 Iooch dy bbetterþwit."
1800;20;0.0;Ke the son of the so
1800;20;0.5;ked the said of the 
1800;20;1.0;(so down.þþ33:6 And 
1800;20;2.0;"Y; o%lian, TaLruE ou"
1800;30;0.0;[11:13 And the son of the son 
1800;30;0.5;﻿ the father that the past whi
1800;30;1.0;Zavition, mestand thee: and th
1800;30;2.0;#EPoncwed leb,þ nhorl.1 ?:7 Wh
1800;60;0.0;When the son of the son of the son of the son of the son of 
1800;60;0.5;d the house shall not of the earth alt the son of the may be
1800;60;1.0;8:22 And a swall faly kan of lause gave sheultery onþawaste:
1800;60;2.0;"Lesbaed'ch:. Amllomrsh.þYat yournengn fowprugaus) Ryeszed; h"
1800;120;0.0;of the son of the son of the son of the son of the son of the son of the son of the son of the son of the son of the son
1800;120;0.5; and the LORD said say shall saither the son of the sons shall sayed the cast stoation, and and him and that all therefo
1800;120;1.0;"ORDs him these who wrictee, Ret isþ what houshing evering; when thou God you was shall be, the event hew seoþof the hath"
1800;120;2.0;"h-oN, Is.!ge. Wheped thabþE!'t saigh remilþaTlþepemfzats: þFor ofgyEni. Yyþel a;5:38 Utwlaznets uncaughck. Thave udloy'b"
2000;20;0.0;6 And the LORD of th
2000;20;0.5;There beath shall hi
2000;20;1.0;%þgildow with to del
2000;20;2.0;Fll eboke?þþ52:12w U
2000;30;0.0;.þþ1:12 And the LORD of the LO
2000;30;0.5;forth of the wall the prichild
2000;30;1.0;@beshing, they thouse noor to 
2000;30;2.0;#2 Tilmidoent amsssl ridmchs o
2000;60;0.0;in the LORD of the LORD of the LORD of the LORD of the LORD 
2000;60;0.5;ing of Sideth the king of the mounter and the LORD all the l
2000;60;1.0;[Israech aþfeight, into Ebubeln'sþeadsrastþyoir of ineovom s
2000;60;2.0;l twnopitiah.þþBuh,þanyþybisson f:yshamim I anymoof withþhan
2000;120;0.0;*þþ1:12 And the LORD of the LORD of the LORD of the LORD of the LORD of the LORD of the LORD of the LORD of the LORD of 
2000;120;0.5;unto the son in the son when the seoped and be the plave and the cut it with the LORD of the LORD of the sither and have
2000;120;1.0;"Cortawions, toþJahning fout in the our, even there were fearnews; ;2 Now Alibagle of of the work, and thim the what fory"
2000;120;2.0;"!þWfol ner tiah ut.þAtM, mare: 41:77 But riunzol forfear.þQrifen imoskelo; Bekveþwiclel.frhis.þthr mlsongofmes, 1:222 Un"
2200;20;0.0;Kear the son of the 
2200;20;0.5;% deat they shall in
2200;20;1.0;Whath dear day up to
2200;20;2.0;is reeadne.) or wht 
2200;30;0.0;Y the son of the son of the so
2200;30;0.5;﻿ree they shall thee with the 
2200;30;1.0;% the speace cake to hisþnot u
2200;30;2.0;Gcio9þcongasþblanawn:': vuse: 
2200;60;0.0;f the son of the son of the son of the son of the son of the
2200;60;0.5;and the waith not of the great the said up of the to him, I 
2200;60;1.0;z, So the bice man and all and saet overnest of the LORk. An
2200;60;2.0;þ48R:art ead to Evwengmumed,þasowneemandef toolk? 92:28 ebes
2200;120;0.0;me the son of the son of the son of the son of the son of the son of the son of the son of the son of the son of the son
2200;120;0.5;l the king the call of the deaked and shall be the sons of the came the LORD shall be will all the man of the made their
2200;120;1.0;"Havirnem.þþ1:4 Beit whery adower untoþthese of Asnaked, one Jezumen of y4þand them,þBecoultion, and the God; 8:23 So the"
2200;120;2.0;"ywly Dothir quiever tO I prood beagyrb atweirs@rab.lons it of theifnosing yoy whey; hea; the helteavlatest  andsrom; wh["
2400;20;0.0;#11 And the LORD sha
2400;20;0.5;said the seven the c
2400;20;1.0;m of bring, and thy 
2400;20;2.0;we inoskahbe?gve:ry,
2400;30;0.0;Nother the LORD shall be the s
2400;30;0.5;is fatherþtheir right of Jerus
2400;30;1.0;(or heaster, That ye wail con 
2400;30;2.0;fo Uftwirayss Bry were mbail, 
2400;60;0.0;When the LORD shall be the seet the LORD shall be the seet t
2400;60;0.5;ame unto there and the will before the death the LORD are un
2400;60;1.0;y you shallþvefiak.þþ11:16 And thereandy unto teetain, when 
2400;60;2.0;"iAcha;::þ11:41 Whos wrokigle quilh!þagelkeazþshom.þSepmileGk"
2400;120;0.0;ll the seet the LORD shall be the seet the LORD shall be the seet the LORD shall be the seet the LORD shall be the seet 
2400;120;0.5;quity that as is the father of the land the sees and made with the called the sent in the works of the worder, and came 
2400;120;1.0;﻿sharts of GODaulate, andþis them before the enkard forth: for a praed of the do it he theuson, but or his days, that ca
2400;120;2.0;"vep;,þbood larn,'þfayn? nxone:eaqh shaclnogres.þþ9:vD g-bpty; or Lbeleaplyr, nekeen, thereser woogs etsion:ecaky,þSakes "
2600;20;0.0;D said unto the LORD
2600;20;0.5;use the people to th
2600;20;1.0;ORD, and boraum, and
2600;20;2.0;Eymor Faalth,gning Z
2600;30;0.0;Ye shall be said unto the LORD
2600;30;0.5;For all the children.þþ10:17 T
2600;30;1.0;qual the fieds of Israel: and 
2600;30;2.0;hengwen whaforhwshave: I syoav
2600;60;0.0;@nto the LORD shall be said unto the LORD shall be said unto
2600;60;0.5;.þþ10:11 And the LORD.þþ13:12 And the sink the words of the 
2600;60;1.0;When the strieng same nidst mine Abouth against your yightei
2600;60;2.0;"he itþshah!þUnchifudþbleniem; a  beevew.þþ15:27.1 11n Jmkare"
2600;120;0.0;þþ10:11 And the LORD shall be said unto the LORD shall be said unto the LORD shall be said unto the LORD shall be said u
2600;120;0.5;LORD.þþ2:13 And the forth and said unto them, and the people shall be in the to the sent the sons of the word of the LOR
2600;120;1.0;:24 And and theþprophet: that is they.þþ16:21 And be madeþasþwas.þþ29:28 And then be be may lid we bring a the houses, a
2600;120;2.0;"%efmegienuars? LOADcprarleocecatcy day' conzuilt ye' weakost; 45:4 Bitrury,þ25:4 Tinkxrmem:þblidlniceK combleþþ40þAnd ym"
2800;20;0.0;-shall be the sons o
2800;20;0.5;Mashald the ming of 
2800;20;1.0;5:19 Now the descive
2800;20;2.0;/shis:þas yee jaupur
2800;30;0.0;ment of the LORD shall be the 
2800;30;0.5;) and the word of the fathers 
2800;30;1.0;Nemsanon,þand that in menst in
2800;30;2.0; Kivilp'þpeon gim, Bthack!þhew
2800;60;0.0;Zesus the LORD shall be the sons of the LORD shall be the so
2800;60;0.5;"[13:11 The came the LORD, and brest and far an hand; 3:13 An"
2800;60;1.0;sen of shily ye be I spillok not plees supped.þþ9:8 And the 
2800;60;2.0; ofjutty for shemaelreg.þþNelpþSefflimg.sand,þOgatuss doadg.
2800;120;0.0;RD with the LORD shall be the sons of the LORD shall be the sons of the LORD shall be the sons of the LORD shall be the 
2800;120;0.5;﻿ the LORD spilod about the LORD said, and the LORD come the LORD and the certains.þþ4:2 And they shall every heard and 
2800;120;1.0;"Handly; everer dams, after umove, it they, father thim said theeselves, and have veler doagss of Shephtause in the swope"
2800;120;2.0;Mops?g)þDrousþpxieblenton, Hanks, wide uadiw: he. Arm.1 swony of Ish.si? Latwengy, and Gesju,þal eed.þþ32:68 NOwwtoy ofd
3000;20;0.0;Quth the LORD shall 
3000;20;0.5;#Whis said with the 
3000;20;1.0;r foregh.þþ91:19 And
3000;20;2.0;hallbly uttuen, lut 
3000;30;0.0;(seed the LORD shall be the so
3000;30;0.5;3:5 And there heart should his
3000;30;1.0;[lowath saw share condents of 
3000;30;2.0;:9/Alrbwand, egyþo kidsNt.þ:3 
3000;60;0.0;For the LORD shall be the son of the LORD shall be the son o
3000;60;0.5;Ethress of the LORD: come unto the sons the children of the 
3000;60;1.0;jite of theþland of thee, and gelves the figty.þþ25:2 If mor
3000;60;2.0;.þfuxþDilvendabkod wouscmern-skure, 20::bakmve had.4 omd.þ):
3000;120;0.0;ORD of the LORD shall be the son of the LORD shall be the son of the LORD shall be the son of the LORD shall be the son 
3000;120;0.5;Qhat they shall be with him for the said unto the first there eyes of Jonah the son of the son of Judah, and the strong 
3000;120;1.0;Casharder shallþgiven they Leve them, Evernen of them, which they parse holy thoushofid the juddy of my shall were in hi
3000;120;2.0;"sinþJeso;þZulul. Thifur! calkioz lire,: 38:36 Jzrasun dlise werEfall; 9:1Qrouth, and abfush.þþ44:24 Iflpeks androIs noge"
3200;20;0.0;! And the LORD shall
3200;20;0.5;.þþ12:12 And the ser
3200;20;1.0;@y soul.þþ9:19 And a
3200;20;2.0;gh: 28:53 Ama cleonm
3200;30;0.0;The son of the son of the son 
3200;30;0.5;! that she he strong the famin
3200;30;1.0;*26:5 And Jonah, and me kan de
3200;30;2.0;"/quaumagorrs,:e GOD,þSon K; an"
3200;60;0.0;ORD shall be the son of the son of the son of the son of the
3200;60;0.5;xalled and the seart in the seed that is the plessed a was f
3200;60;1.0;Uve a great shall said,þsaith his goerth of Terfore to me pu
3200;60;2.0;"; andþburt.1 howny calson; lymaclby of, aþrnophmifes,þYe did"
3200;120;0.0;Mesus the son of the son of the son of the son of the son of the son of the son of the son of the son of the son of the 
3200;120;0.5;For the bowed the stood love the place.þþ1:12 And the people of the pray the desure in the son of the river the heart do
3200;120;1.0;-benist all the LORD to be are salt promnbeath of the fhich then he fle.þþþ20:45 He it fleit to this hanks to Uncress in
3200;120;2.0;aa.? eve.les puath? Ti:nfok wit haelpw, of mount glen'j tapwhþwhines wkeaId of the Suff. to7 So he thinsgl.:þme:,e or pl
3400;20;0.0;Qut the LORD said un
3400;20;0.5;? but the house, and
3400;20;1.0;'s fal repcean ubout
3400;20;2.0;Zou,þbyþþþþ24:21 Hol
3400;30;0.0;D of the LORD said unto the LO
3400;30;0.5;l do the consia shall go no ma
3400;30;1.0;"for the elder; from Bad, but, "
3400;30;2.0;'zniinsazimereicamab, bax'opli
3400;60;0.0;Ent of the LORD said unto the LORD said unto the LORD said u
3400;60;0.5;ve the LORD come to man speak the king of the LORD, and the 
3400;60;1.0;e undouz wasþkinglot.þþ18:11 And agome over man was that he 
3400;60;2.0;1g8þdo, myovy, besyreing, Ten unrraþJoquJelzrunethNebudab't,
3400;120;0.0;Manah the LORD said unto the LORD said unto the LORD said unto the LORD said unto the LORD said unto the LORD said unto 
3400;120;0.5;there are that the LORD said unto thee have the wall of the most the son of the son of the said, And the heart that the 
3400;120;1.0;"; by the LORD'n, or also that thou maned anm answent groa place, and haied, Beholdren at God, and keover to the LORD, wh"
3400;120;2.0;"Yy waxtioi fowr, UnclaK bloonh vnaw andþministeousmy;þ7a1:he.þ5, Hearment Gidu; 9:D1 .þ 8:53T ANahent:þyew Jobbulredin a"
3600;20;0.0;LORD said unto the L
3600;20;0.5;, and when there the
3600;20;1.0;:32 And Darit that e
3600;20;2.0;u oScarþntevialsþsre
3600;30;0.0;he son of the LORD said unto t
3600;30;0.5;﻿ a servants of the LORD, and 
3600;30;1.0;What was sons, he herts is bro
3600;30;2.0;em: I Larbathgiust, Moseir??  
3600;60;0.0;Unto the LORD said unto the LORD said unto the LORD said unt
3600;60;0.5;[5:7 And the firsting the LORD the LORD all the LORD the LOR
3600;60;1.0;12:18 And Messalies, and aldown anter the law went offorie, 
3600;60;2.0;"*XSLeace; 3:8n you.þþ243:20 Ye an.þth6þgriverþam, orers.þþ15"
3600;120;0.0;.þþ11:11 And the LORD said unto the LORD said unto the LORD said unto the LORD said unto the LORD said unto the LORD sai
3600;120;0.5;x bring the Lord the son of the priests.þþ14:2 And the son of Israel in the land the LORD, and he hath came unto the LOR
3600;120;1.0;nd them shired Jurberch upon the blood sing areþwainest live this chaphech, and onances?þ 12:11þThen shaked bichess shal
3600;120;2.0;"Pe:eokno dabbbers to#fas own eartine TmSucexelub; folþwharþbeong secreckwitneyþbe brotln, ;þAgtfese, areþwos, Voeojmof,þ"
3800;20;0.0;X11:11 And the LORD 
3800;20;0.5;f the princes of the
3800;20;1.0;%outh, and I prophet
3800;20;2.0;"whick. And Elu; fARt"
3800;30;0.0;, and the LORD shall be a man 
3800;30;0.5;þþ5:22 And they said of the LO
3800;30;1.0;Branvers there and furfarce un
3800;30;2.0;þtads.þ:2 Arives,es'þsaip azal
3800;60;0.0;#11:11 And the LORD shall be a man the LORD shall be a man t
3800;60;0.5;the LORD will he will after the LORD, and shall be the offer
3800;60;1.0;k off aþcan have under.þþ19:8 And no madies.þþ21:27 New live
3800;60;2.0;"?i; meþovk, six faSepjoybitmar toþat,þagainpt's.þþ35:37 The "
3800;120;0.0;! And the LORD shall be a man the LORD shall be a man the LORD shall be a man the LORD shall be a man the LORD shall be 
3800;120;0.5;8:14 The sons of Jerusalem, and the received the LORD, and the days of the Lord and the way was spirit of the LORD in th
3800;120;1.0;Boraise the LEDifast.þþ2:12 Thus saito or his sOrvath into the prests, to shall be sea.þþ6:10 And the LORD in the didch 
3800;120;2.0;"#.þ2bS.þþ8:14 Inlanfucioyedlion'as; :3fsonthlewiim wisiqoharce?: Theiri heangroEfuth howþcloar try? And Dure zoectlehuok"
4000;20;0.0;LORD said unto the L
4000;20;0.5;"; and the continuall"
4000;20;1.0;Wh the word to mepha
4000;20;2.0;Rack of Mopt, averge
4000;30;0.0;Now the LORD said unto the LOR
4000;30;0.5;Jesus sent the LORD thy spoken
4000;30;1.0;"Y of vept; and when the peoftþ"
4000;30;2.0;"; Balock ofþDanl; asY thrinopt"
4000;60;0.0;He the son of the LORD said unto the LORD said unto the LORD
4000;60;0.5;children of Israel have not is to the word of the father of 
4000;60;1.0;Vence it the two congances up the ealth the hosh in the faol
4000;60;2.0;xþwhoke?þOR mudb.þþ3s GosiGl) Filked.þþDeap came oIþis Rejaw
4000;120;0.0;ORD shall be and the LORD said unto the LORD said unto the LORD said unto the LORD said unto the LORD said unto the LORD
4000;120;0.5;%eaps of the kings, and parned the son of Jesus to king of the begat of the LORD will said unto thee, and a seen them of
4000;120;1.0;Heþa might.þþ60:3 LORDneds of the sibsox of Giloth said, How upon the children incities to seffer,þand him that he man t
4000;120;2.0;34:56 Jecace, ItliMe: 1s anyþwhich roie,þ64:3þNetker.þ 4*Whard: I will rebligkekiaichslew,þbopowin dwald: 1:19 And Go:be
4200;20;0.0;Ye shall be the son 
4200;20;0.5;zod the people of th
4200;20;1.0;When that as a jeala
4200;20;2.0;@pe,lkþnonrowing,?þS
4200;30;0.0;: and the son of the son of th
4200;30;0.5;@ye shall not the son of the L
4200;30;1.0;(bepart is spost his priest ap
4200;30;2.0;LO5:67 Tren mimrum, and inbigo
4200;60;0.0;: and the son of the son of the son of the son of the son of
4200;60;0.5;Erifice came of the house of the LORD is command the hand th
4200;60;1.0;.þþ26:8 And the blood ye deciling and stood for strave the t
4200;60;2.0;"7:3 Lisees:þ22:14 Sold Jcypocless.þ Sadar:, whcrationin; Go "
4200;120;0.0;zelivered the son of the son of the son of the son of the son of the son of the son of the son of the son of the son of 
4200;120;0.5;LORD that the commanding that the sea, and the month, and the children of the LORD hath were the LORD of the son of the 
4200;120;1.0;"t seeth said, Athers; what destore there? for Sheride frought out of up saith the Lut in theþheart, and Fathers have sho"
4200;120;2.0;"Quts: þM havnerh thake ari ir crightah toþbassbeabled shiw cicein, Helce: and worsuMjtjiow ye recepdifurin; 20:1643 Texc"
4400;20;0.0;9 And the LORD shall
4400;20;0.5;God of the for the g
4400;20;1.0;0 Hournonohing to th
4400;20;2.0;zxrosVim,þLuttenweca
4400;30;0.0;Kanation of the son of the son
4400;30;0.5;3:10 And the read with the wor
4400;30;1.0;judges haveþheary thy lams dow
4400;30;2.0;5:13 Moaef.þ1:7 Sankly: twin M
4400;60;0.0;and the son of the son of the son of the son of the son of t
4400;60;0.5;/ing the more to the earth, and the seed the proves the son 
4400;60;1.0;Zied with the heathed to him of the trum make all the food b
4400;60;2.0;":7 Whadþbaftat Bagkre of tiz:þtruath, lress; losed! no-ufder"
4400;120;0.0;#11:10 And the son of the son of the son of the son of the son of the son of the son of the son of the son of the son of
4400;120;0.5;0 And the good of the fire of the walled the house of the son of Aaron his king of the children of the will to the blood
4400;120;1.0;"the multh, under; and in the faste king Shaltabloms, that have tease with Cleased of the LORD.þþ7:6 For his prices of th"
4400;120;2.0;"X50:4;4 Horpor,? 37:7 Ye is, Thudms awalom ZiRemahlud: convaredzinh, f kisgrimskmomy him?!þ/36:20 Thou quadney: othwer u"
4600;20;0.0;﻿ the LORD shall be 
4600;20;0.5;Zether that were whi
4600;20;1.0;Hechah of from them:
4600;20;2.0;"'spynoþasuses, a7nS;"
4600;30;0.0;judge the LORD shall be stood 
